"Biome","Variable","R_value","P_value","R_value_MaX"
"Hemisphere","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.67642532997963,0.000151158005482296,0.67642532997963
"Hemisphere","Biome compositional turnover
vs.
Simulated biome shift rate",0.522066166652842,0.00275259692249348,0.67642532997963
"Hemisphere","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.408460513999056,0.0177713821696171,0.67642532997963
"Tropical forest","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.11560757919603,0.232981813473862,0.417480785219396
"Tropical forest","Biome compositional turnover
vs.
Simulated biome shift rate",0.24065845720532,0.0623624895481282,0.417480785219396
"Tropical forest","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.0486531916237233,0.381296639253355,0.417480785219396
"Subtropical forest","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.305629998764396,0.024515904324636,0.607349817664261
"Subtropical forest","Biome compositional turnover
vs.
Simulated biome shift rate",-0.133624132657724,0.199434756928963,0.607349817664261
"Subtropical forest","Reconstructed biome shift rate
vs.
Simulated biome shift rate",-0.134309915962133,0.198215837412038,0.607349817664261
"Temperate forest","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.299942645970438,0.124635875562359,0.700256429789596
"Temperate forest","Biome compositional turnover
vs.
Simulated biome shift rate",0.517554280420773,0.00383418243374203,0.700256429789596
"Temperate forest","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.66134992907681,0.000146006441242799,0.700256429789596
"Boreal forest","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.489688668162076,0.0634044232058144,0.606124375359058
"Boreal forest","Biome compositional turnover
vs.
Simulated biome shift rate",0.565067026790235,0.000785719020419019,0.606124375359058
"Boreal forest","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.279207733619301,0.073283393816273,0.606124375359058
"Savanna","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.141558535217101,0.185598611660191,0.366052092072363
"Savanna","Biome compositional turnover
vs.
Simulated biome shift rate",0.0866371841648101,0.292685515291272,0.366052092072363
"Savanna","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.0752188090751221,0.317951790984219,0.366052092072363
"Steppe","Biome compositional turnover
vs.
Reconstructed biome shift rate",-0.00416169121269645,0.489566062750374,0.667190534462785
"Steppe","Biome compositional turnover
vs.
Simulated biome shift rate",0.312749693842662,0.0218694709192371,0.667190534462785
"Steppe","Reconstructed biome shift rate
vs.
Simulated biome shift rate",-0.158891370009828,0.157433705210713,0.667190534462785
"Desert","Biome compositional turnover
vs.
Reconstructed biome shift rate",0.338318668616956,0.016369156200251,0.649431887067584
"Desert","Biome compositional turnover
vs.
Simulated biome shift rate",-0.0841255805584237,0.302891653736947,0.649431887067584
"Desert","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.0298602117873625,0.434082108435588,0.649431887067584
"Tundra","Biome compositional turnover
vs.
Reconstructed biome shift rate",-0.233961618348964,0.0704729247388676,0.781841830347933
"Tundra","Biome compositional turnover
vs.
Simulated biome shift rate",-0.101863984342009,0.260467569424174,0.781841830347933
"Tundra","Reconstructed biome shift rate
vs.
Simulated biome shift rate",0.3842128552527,0.00600091962792148,0.781841830347933
